loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,label
1538157416.074511,1,0,72031.2394035,0.282684326171875,-0.3143157958984375,-0.6762542724609375,72031.23098750001,1.319269283952401,1.649215501937261,1.095378130057766,5
1538157416.083454,2,0,72031.2492085,0.1889801025390625,-0.41302490234375,-0.87322998046875,72031.2409875,0.9941186201424465,2.018803405380168,1.233108033205067,5
1538157416.203822,3,0,72031.25901350001,0.17431640625,-0.3932647705078125,-0.9790802001953125,72031.25099850001,0.6701093871757,1.659592242808646,1.146180857328227,5
1538157416.205825,4,0,72031.2688185,0.207000732421875,-0.307769775390625,-0.99957275390625,72031.2610025,0.3927203869874448,0.7497703943343682,0.8294628267938994,5
1538157416.215755,5,0,72031.2785935,0.2439117431640625,-0.309539794921875,-1.052810668945312,72031.27098650001,-0.07271601566795956,0.09933617497606459,0.4342862063330745,5
1538157416.266509,6,0,72031.2884205,0.1822052001953125,-0.4219818115234375,-1.101181030273438,72031.28098550001,-0.6670600677275593,-0.1423241223437966,0.06028970602164983,5
1538157416.278446,7,0,72031.2982325,0.13372802734375,-0.56683349609375,-1.096572875976562,72031.2909895,-1.036840517717279,-0.3430242031499122,-0.2254091557159797,5
1538157416.279569,8,0,72031.30803650001,0.1510772705078125,-0.6706085205078125,-1.046783447265625,72031.30101550001,-1.027731441524772,-0.3929246514430539,-0.3496011457779719,5
1538157416.28071,9,0,72031.31784050001,0.219879150390625,-0.7225799560546875,-1.004364013671875,72031.3210195,-0.6081924897280118,0.4793650014726278,-0.06843551684787519,5
1538157416.281322,10,0,72031.3276165,0.2891998291015625,-0.7652587890625,-1.029464721679688,,,,,5
1538157416.282455,11,0,72031.3374435,0.279998779296875,-0.82806396484375,-1.023696899414062,72031.33102550001,-0.48834651224892,0.8470841647786267,0.2496729500915826,5
1538157416.283688,12,0,72031.3472285,0.228240966796875,-0.905975341796875,-0.972564697265625,72031.3510335,-0.4974486642225928,1.121082161950884,0.7621445060233124,5
1538157416.284401,13,0,72031.35705950001,0.20721435546875,-0.9162750244140625,-0.9546356201171875,,,,,5
1538157416.285715,14,0,72031.36686350001,0.20526123046875,-0.8502197265625,-0.982635498046875,72031.36104050001,-0.8065346077049712,1.224973673971529,0.8519572169412537,5
1538157416.347001,15,0,72031.37664650001,0.18426513671875,-0.748077392578125,-1.00860595703125,72031.3810485,-1.590093059421393,0.6527402505462032,0.7629842007150144,5
1538157416.352904,16,0,72031.38646950001,0.116241455078125,-0.6241607666015625,-1.032257080078125,,,,,5
1538157416.361008,17,0,72031.39627350001,0.0214691162109375,-0.498321533203125,-1.026779174804688,72031.39107150001,-1.879801310180137,0.09310357907695214,0.6917648815796794,5
1538157416.36238,18,0,72031.4060665,-0.080902099609375,-0.39385986328125,-0.9049224853515625,72031.4010575,-2.028395046362198,-0.4987877016186846,0.581746501155198,5
1538157416.363603,19,0,72031.4158825,-0.20318603515625,-0.2019195556640625,-0.69512939453125,72031.41106150001,-2.078709083572629,-0.6822981428527747,0.4632760463791321,5
1538157416.364473,20,0,72031.42568450001,-0.2667999267578125,-0.2559051513671875,-0.5284881591796875,72031.4210875,-2.247860825473448,-0.2224836732585277,0.3728513410426906,5
1538157416.365326,21,0,72031.43548150001,-0.3514862060546875,-0.4326934814453125,-0.4421844482421875,,,,,5
1538157416.366233,22,0,72031.4452805,-0.35186767578125,-0.5072479248046875,-0.4708251953125,72031.4410875,-2.381849253605296,0.7927932291123804,0.1017476673431313,5
1538157416.367221,23,0,72031.45507150001,-0.2693939208984375,-0.485626220703125,-0.5914306640625,72031.45110250001,-2.409432678279683,0.9413837695011334,-0.01685274969413043,5
1538157416.4161,24,0,72031.46490450001,-0.1585235595703125,-0.4148101806640625,-0.7632904052734375,72031.46108350001,-2.532362063668868,1.043067787294212,-0.1669770045546601,5
1538157416.425037,25,0,72031.47470050001,-0.040679931640625,-0.3077239990234375,-0.934967041015625,72031.4710875,-2.69965012543885,1.343395659215756,-0.2945418881372376,5
1538157416.430716,26,0,72031.48449250001,0.0842742919921875,-0.1672210693359375,-1.092819213867188,72031.4810995,-2.745303630741642,1.570063158546798,-0.3435927880426441,5
1538157416.431455,27,0,72031.4943205,0.162384033203125,-0.0476837158203125,-1.127349853515625,,,,,5
1538157416.433307,28,0,72031.50410450001,0.12982177734375,-0.0352935791015625,-1.118499755859375,72031.50110950001,-2.066670530181034,1.404160739491985,-0.3407173730136855,5
1538157416.434067,29,0,72031.5139315,0.025848388671875,-0.021575927734375,-1.048629760742188,72031.51113350001,-1.296394328085274,1.039915137195776,-0.5655547480436252,5
1538157416.434541,30,0,72031.5237205,-0.020599365234375,0.0172576904296875,-0.8686676025390625,,,,,5
1538157416.436308,31,0,72031.5335245,-0.0537872314453125,0.045318603515625,-0.6764678955078125,72031.5311225,0.7329935447313051,-0.1883672481140676,-1.106619333018991,5
1538157416.437591,32,0,72031.54333450001,-0.057861328125,0.03851318359375,-0.5204315185546875,72031.54114850001,1.436798843915342,-0.7948878053097277,-1.254670316970894,5
1538157416.438238,33,0,72031.5531335,-0.0688323974609375,-0.0294036865234375,-0.4198455810546875,,,,,5
1538157416.439354,34,0,72031.56293850001,-0.0686187744140625,-0.083831787109375,-0.35821533203125,72031.56114450001,1.939285676288147,-2.25384122001733,-1.339782814880954,5
1538157416.440333,35,0,72031.57274650001,-0.1427154541015625,-0.1600799560546875,-0.27685546875,72031.5711635,1.964538302376496,-2.110609226057925,-1.339534075635141,5
1538157416.440948,36,0,72031.5825495,-0.45208740234375,-0.3480682373046875,-0.4135894775390625,,,,,5
1538157416.441795,37,0,72031.5923685,-0.465301513671875,-0.4331817626953125,-1.31072998046875,72031.5911435,0.7401947323188793,3.259488664518729,-0.8138614964959971,5
1538157416.443,38,0,72031.6021725,-0.3654022216796875,-0.56719970703125,-1.647750854492188,72031.60117950001,0.5661251971491201,1.76284779196098,-0.522057071643252,5
1538157416.443965,39,0,72031.6119815,-0.0504608154296875,-0.4647216796875,-1.512252807617188,,,,,5
