loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,label
1538158452.057402,1,0,73067.27563250001,-0.0147552490234375,-0.5982208251953125,-0.74200439453125,73067.26798650001,0.1720380758902467,0.773356680528655,-0.007240336055598425,2
1538158452.058548,2,0,73067.2854085,0.01092529296875,-0.601104736328125,-0.7551116943359375,73067.28799750001,0.1946307366818249,0.7886448230823639,-0.1989083060247102,2
1538158452.05929,3,0,73067.29523850001,0.0196685791015625,-0.6415863037109375,-0.7249755859375,,,,,2
1538158452.060105,4,0,73067.30504050001,0.0615081787109375,-0.6533966064453125,-0.7447052001953125,73067.29800550001,0.1310717341059938,0.8184304156621371,-0.3159198811556307,2
1538158452.06105,5,0,73067.31481550001,0.101287841796875,-0.6591949462890625,-0.7911529541015625,73067.31801650001,0.1707917165000896,0.2389449382724164,-0.329274036125724,2
1538158452.061591,6,0,73067.3246455,0.10614013671875,-0.677734375,-0.8143310546875,,,,,2
1538158452.062206,7,0,73067.3344475,0.12567138671875,-0.68756103515625,-0.7889251708984375,73067.32801550001,0.09214004739456148,-0.2008100693591358,-0.2671115952255305,2
1538158452.062838,8,0,73067.3442455,0.11175537109375,-0.6953887939453125,-0.7315826416015625,73067.3480365,-0.08152628518615969,-0.5407460709089921,-0.2024108954903824,2
1538158452.063202,9,0,73067.35405150001,0.036102294921875,-0.688201904296875,-0.6852874755859375,,,,,2
1538158452.064074,10,0,73067.3638545,-0.0270538330078125,-0.6675567626953125,-0.65185546875,73067.3580435,-0.0678275171710101,-0.3831005164978605,-0.1320677563536835,2
1538158452.075708,11,0,73067.37365150001,-0.0496063232421875,-0.652557373046875,-0.6405181884765625,73067.3680495,0.08623155820011169,-0.1469923774185965,-0.05874400732496784,2
1538158452.090518,12,0,73067.38345950001,-0.0486297607421875,-0.684295654296875,-0.688720703125,73067.37805350001,0.3325361421449621,0.05575008162750076,-0.03323571777197087,2
1538158452.120262,13,0,73067.39326350001,-0.03619384765625,-0.6911773681640625,-0.7243804931640625,73067.3880625,0.5637214279492146,0.1791857339399104,0.02254632178861083,2
1538158452.121138,14,0,73067.40306350001,0.0070037841796875,-0.6822357177734375,-0.7985687255859375,,,,,2
1538158452.121938,15,0,73067.41287150001,0.0347442626953125,-0.693450927734375,-0.9113006591796875,73067.4080695,0.5513329351903841,-0.06571163568494215,0.2884951808822127,2
1538158452.122974,16,0,73067.42264650001,0.027923583984375,-0.6719970703125,-0.88726806640625,73067.4180815,0.2721180717587705,-0.5676021862896781,0.3906215497323534,2
1538158452.133042,17,0,73067.4324755,-0.02032470703125,-0.6168060302734375,-0.844970703125,,,,,2
1538158452.149748,18,0,73067.4422795,-0.043212890625,-0.4759674072265625,-0.7852783203125,73067.4380905,-0.989734524355958,-1.362992796413213,0.3527601874630238,2
