loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,label
1537844485.832871,29,0,2586.484861125,-0.0142059326171875,-0.455780029296875,-0.9539031982421875,2586.479134125,0.02192314209353229,0.2432371550012971,-0.09110141456943058,0
1537844485.843509,30,0,2586.494660125,0.0131378173828125,-0.4434356689453125,-0.98162841796875,2586.489138125,-0.01490304946008342,0.1369970012153111,-0.108794125271372,0
1537844485.878223,31,0,2586.504484125,0.0311737060546875,-0.429229736328125,-0.9968109130859375,2586.499129125,-0.02085308396753845,0.0445158028851105,-0.1284045782742795,0
1537844485.884454,32,0,2586.514285125,0.0422821044921875,-0.4290008544921875,-1.003067016601562,2586.519161125,0.08441474970445963,-0.04443750594906217,-0.1010861381283557,0
1537844485.885083,33,0,2586.524085125,0.0521697998046875,-0.432586669921875,-1.004043579101562,2586.529169125,0.1755465243103171,-0.1257611245762668,-0.05159501769475913,0
1537844485.885457,34,0,2586.533885125,0.0641021728515625,-0.4386749267578125,-0.99884033203125,,,,,0
1537844485.892802,35,0,2586.543686125,0.0693206787109375,-0.44927978515625,-0.9966888427734375,2586.539178125,0.2676173295165366,-0.1974616769205792,0.00635723183812815,0
1537844485.904917,36,0,2586.553485125,0.0745391845703125,-0.45538330078125,-0.9789581298828125,2586.549182125,0.3373820300644703,-0.2162127278397181,0.05089753580526737,0
1537844485.912473,37,0,2586.563286125,0.0786895751953125,-0.455657958984375,-0.94976806640625,2586.559168125,0.3689729795472082,-0.1937332513944682,0.07555840749940113,0
1537844485.922977,38,0,2586.573077125,0.07818603515625,-0.4528350830078125,-0.93121337890625,2586.579184125,0.335960434674586,-0.1312014300510807,0.06516116028762277,0
1537844485.933921,39,0,2586.582888125,0.072235107421875,-0.451904296875,-0.9082183837890625,,,,,0
1537844485.95723,40,0,2586.592688125,0.0568389892578125,-0.4550933837890625,-0.9022064208984375,2586.589211125,0.2955927715033829,-0.1439598358853233,0.0595157914088728,0
1537844485.957882,41,0,2586.602491125,0.04425048828125,-0.45751953125,-0.896240234375,2586.609224125,0.1947718842195991,-0.2214836562692029,0.04521328477460225,0
1537844485.961495,42,0,2586.612290125,0.031890869140625,-0.4575347900390625,-0.8953857421875,,,,,0
1537844485.9772,43,0,2586.622092125,0.020721435546875,-0.4561614990234375,-0.8924560546875,2586.619233125,0.1395954474909014,-0.2629096596576035,0.03643497318948306,0
1537844485.991171,44,0,2586.631891125,0.0104827880859375,-0.45513916015625,-0.8852386474609375,2586.639244125,0.02740765604244147,-0.2668181148734037,0.06727837335423577,0
1537844485.99159,45,0,2586.641693125,0.0034027099609375,-0.4494781494140625,-0.877777099609375,,,,,0
1537844486.000704,46,0,2586.651495125,-0.0080108642578125,-0.4481964111328125,-0.86798095703125,,,,,0
1537844486.014902,47,0,2586.661292125,-0.0130157470703125,-0.440948486328125,-0.8614349365234375,2586.659262125,-0.02012284519663872,-0.1455326988251241,0.1010408643898243,0
1537844486.037299,48,0,2586.671092125,-0.0197296142578125,-0.4285125732421875,-0.8490447998046875,2586.669266125,-0.01282791433869367,-0.07337887646328027,0.1016392766867651,0
1537844486.037823,49,0,2586.680899125,-0.023468017578125,-0.40924072265625,-0.8384552001953125,,,,,0
1537844486.042735,50,0,2586.690701125,-0.023651123046875,-0.3919219970703125,-0.829193115234375,2586.689267125,0.02993020222696453,0.06103965218461614,0.06590764434117198,0
1537844486.049738,51,0,2586.700503125,-0.022186279296875,-0.373809814453125,-0.8182830810546875,2586.699271125,0.02808250106266755,0.1392473723364281,0.03014085826918979,0
1537844486.059595,52,0,2586.710304125,-0.0150909423828125,-0.363250732421875,-0.8057098388671875,,,,,0
1537844486.074598,53,0,2586.720109125,-0.01361083984375,-0.365142822265625,-0.7912139892578125,2586.709295125,0.008071508631812154,0.2090320465925374,0.0006439523515811598,0
1537844486.079025,54,0,2586.729909125,-0.0064697265625,-0.365203857421875,-0.7823638916015625,2586.729281125,-0.04701864167756697,0.3762695083018073,-0.05018833600697928,0
1537844486.09389,55,0,2586.739702125,0.010101318359375,-0.3640594482421875,-0.7710113525390625,,,,,0
1537844486.141903,56,0,2586.749499125,0.017333984375,-0.3710174560546875,-0.756744384765625,2586.739316125,-0.07701435766734745,0.4675307125366426,-0.05118116246136081,0
1537844486.215587,57,0,2586.759294125,0.0343475341796875,-0.3735198974609375,-0.739501953125,2586.759330125,-0.09490973492824389,0.670507796074776,-0.01666286630840778,0
1537844486.258552,58,0,2586.769091125,0.0437774658203125,-0.3733673095703125,-0.7259674072265625,2586.769337125,-0.08463579207493621,0.7438701609392977,0.001004544363177889,0
1537844486.282362,59,0,2586.778918125,0.052642822265625,-0.38250732421875,-0.716796875,,,,,0
1537844486.32476,60,0,2586.788720125,0.0587310791015625,-0.3912353515625,-0.708221435546875,2586.789328125,-0.07971906407043192,0.7611045416176365,0.03075871164208818,0
1537844486.325304,61,0,2586.798513125,0.0625457763671875,-0.4019317626953125,-0.7026824951171875,,,,,0
